,face_size_x,face_size_y,face_avg,body_avg,label
95,94,104,224.5555441898527,215.4904109589041,2
96,95,107,222.43384161337923,217.36318932209343,2
97,94,109,220.7918211985165,216.28943596449318,2
98,93,105,226.03932411674347,216.28963623884695,2
99,96,104,225.37399839743588,215.7052494371371,2
100,97,105,225.39774177712323,216.42209101382488,2
101,97,106,227.1419957206769,214.4273587193791,2
102,98,104,226.64638932496075,215.49619004930526,2
103,97,104,226.56383822363205,214.6606450392509,2
104,98,105,225.3946550048591,214.66716723874904,2
105,98,107,226.47549113103184,213.74524870528725,2
106,98,106,225.9775702733924,213.80127664699506,2
107,98,106,224.81777050442818,213.38283029612757,2
108,97,107,226.32796993930052,213.5280941533789,2
109,99,107,227.97923156801662,213.79580511662905,2
110,100,111,225.35756756756757,215.26963691595546,2
111,98,111,226.06021327449898,214.93534189281198,2
112,96,110,226.92679924242424,214.5810718801673,2
113,101,112,229.28350424328147,214.36010143702453,2
114,98,105,225.11156462585035,214.1839373392565,2
115,98,105,227.30038872691935,216.79881811277767,2
116,99,106,227.3340003811702,214.69139863547758,2
117,99,109,226.46900194606616,213.43466539004234,2
118,96,108,226.55034722222223,212.8355614973262,2
119,96,109,225.1120986238532,212.44157303370787,2
120,95,107,223.829808165273,213.457874617737,2
121,95,109,227.0768710767745,214.1356063541263,2
122,94,107,227.0680055677073,215.91497442649518,2
123,93,109,225.60155864654237,212.26416921508664,2
124,98,109,223.6218872870249,212.38521450459652,2
125,97,107,221.47788804316409,212.01324503311258,2
126,100,108,220.82555555555555,210.978802806389,2
127,102,108,227.5359477124183,211.88349874092728,2
128,105,108,222.36058201058202,214.1825498400197,2
129,105,110,227.55064935064934,214.97849702380952,2
130,102,111,228.3072778661014,213.13264608168848,2
131,102,109,226.983720093542,213.57672111312763,2
132,102,109,227.7238711998561,213.78718657548862,2
133,98,109,227.4846470698371,214.9502161312506,2
134,102,108,226.3044662309368,215.22978723404256,2
135,101,111,221.25180626170726,211.61313416567577,2
136,99,106,222.2548122736802,211.40683229813664,2
137,100,104,217.74221153846153,209.24966139954853,2
138,102,107,221.33956386292834,208.68495372102888,2
139,98,109,221.9771578356113,212.20536980749748,2
140,98,108,225.1540060468632,215.21930646672914,2
141,98,110,223.56354359925788,217.49334957863744,2
142,97,113,225.7358817626129,219.75125298789422,2
143,94,110,226.86808510638298,220.40764231461907,2
144,94,110,227.49168278529982,221.6659207757266,2
145,94,111,225.3459842821545,221.09439599483204,2
146,95,109,228.2,220.99636316064888,2
147,97,113,226.1804579874099,222.48088782562468,2
148,97,112,227.7384941089838,221.01954129656636,2
149,96,105,228.27311507936508,220.01571633678597,2
150,96,105,230.49732142857144,217.73530612244897,2
151,96,100,230.86041666666668,213.9190968724664,2
152,96,103,228.97117718446603,214.0638314040376,2
153,99,107,227.07240630605116,214.94752894954507,2
154,100,108,230.7387962962963,211.4459612610756,2
155,101,108,230.41464979831318,211.7776605366295,2
156,100,106,229.94245283018867,213.1543173138918,2
157,100,105,228.3902857142857,212.40626394881713,2
158,101,104,229.15527418126428,213.43002951303492,2
159,100,101,230.5591089108911,212.31882352941176,2
160,98,107,231.173564753004,213.73373437984097,2
161,98,106,230.26636503658068,214.80598968357842,2
162,100,110,230.9860909090909,215.69790685504972,2
163,99,106,231.37993138936534,215.6720971256615,2
164,99,109,231.94356408117875,214.61867348803216,2
165,99,108,232.4086232697344,214.28420187069585,2
166,99,107,230.77655055225148,213.34093945934833,2
167,100,104,229.3555769230769,214.839479876161,2
168,100,105,230.34409523809524,213.13048811013766,2
169,100,105,228.90952380952382,213.34444022770398,2
170,100,107,229.09495327102803,214.18572890025575,2
171,100,106,229.6820754716981,214.29455242966753,2
172,101,105,228.73257897218292,213.9353729632767,2
173,99,106,228.21774347246046,213.18419050517346,2
174,100,106,231.69698113207548,213.46074636306136,2
175,101,107,229.56778014250023,213.48864677731393,2
176,102,105,229.57889822595706,214.0538890826648,2
177,102,105,230.78758169934642,213.02609444171176,2
178,99,103,229.63096989310583,213.95857785602504,2
179,100,100,228.4655,213.4031492248062,2
180,100,105,231.0937142857143,213.8082799038269,2
181,99,105,230.3099567099567,215.6531143154452,2
182,100,105,231.3684761904762,214.28608592240226,2
183,102,109,230.84313725490196,214.51334332833582,2
184,101,108,228.66400806747342,214.12039692409206,2
185,101,106,226.53091724266767,214.21343961856516,2
